Id,SalePrice
1461,123713.58568819237
1462,165410.0214384062
1463,187209.25024980458
1464,187673.67363811962
1465,175968.78007432522
1466,175171.20764736034
1467,176203.27912921706
1468,168405.32976830672
1469,190823.6574323918
1470,129543.38549158876
1471,200453.2243042546
1472,93201.97945536216
1473,100229.25184459417
1474,156732.11062513586
1475,113466.82373122756
1476,402068.9447667208
1477,240000.58516427485
1478,298406.5676038564
1479,307569.06697294366
1480,481837.6447606778
1481,322521.7374998283
1482,192586.81956058927
1483,183080.98222626568
1484,162153.0441390321
1485,162372.65853183606
1486,191463.21732334874
1487,366495.0096922871
1488,226694.1180141898
1489,195892.16916981805
1490,247376.1931924823
1491,195967.8341507088
1492,87517.07722018957
1493,186797.1671779074
1494,289548.7128367689
1495,270433.28145665803
1496,248847.55331469112
1497,190665.28895765112
1498,159068.5181963657
1499,158251.51198229237
1500,158942.77355365249
1501,183217.21438399208
1502,151372.98645456272
1503,299163.29493489105
1504,229183.67934556762
1505,225597.66783467296
1506,196592.9737216266
1507,255971.30669517332
1508,192512.10279088496
1509,159469.95363995217
1510,150782.7292199675
1511,148027.9448180525
1512,182518.15145001584
1513,142667.1881379491
1514,155964.74412250114
1515,234788.65843721532
1516,160304.13953634736
1517,153188.7327580549
1518,145009.93347192009
1519,234323.1660358151
1520,131646.77593169504
1521,139288.7409050469
1522,165032.35823442848
1523,114286.66840415621
1524,118483.30004216087
1525,126516.0894874283
1526,121074.67969200175
1527,113718.99203028354
1528,125484.54807086146
1529,145493.0253415539
1530,173657.83739832853
1531,125789.96162150448
1532,108826.01787193789
1533,150038.1640421833
1534,113894.7010274322
1535,159866.4155562592
1536,109129.5052797851
1537,90869.44340691844
1538,137940.13580765782
1539,216529.82183864142
1540,102996.80442329345
1541,133111.1143882851
1542,132705.36712342515
1543,189551.04904296933
1544,84801.46901366103
1545,105606.1682781656
1546,131283.8879265437
1547,130391.01031735072
1548,122105.33885953031
1549,116152.32700667024
1550,145025.13950927544
1551,122804.04328752912
1552,152278.66031327622
1553,159284.4819523711
